appid,categories,genres,short_description,detailed_description
1309,"['Single-player', 'Stats', 'Family Sharing']",['Action'],"You are John Blade, commander of HardCorps, an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire, a beautiful, brilliant, and ruthless scientist who is out to remake humanity according to her own twisted vision.","You are John Blade, commander of HardCorps, an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire, a beautiful, brilliant, and ruthless scientist who is out to remake humanity according to her own twisted vision. The law has failed to bring Elexis and her multi-billion dollar empire, SiNTEK, to justice, so Blade is determined to take matters into his own hands. Joining Blade on his mission are JC - a hacker with a secret to keep - and Jessica Cannon, a fiery rookie who can find her way into any secure facility.<br>					Enter the living, breathing world of Freeport City, a futuristic collision of New York, San Francisco and Tokyo. As Freeport continues to suffer from mutant attacks, you must now bring down Sinclaire before she can set her deadly plan in motion and alter the shape of humanity forever.<br>					SiN Episodes™: Emergence launches the new era of episodic gaming. A first person shooter powered by Valve's award-winning Source™ technology, SiN Episodes offers unprecedented interactivity, an engrossing story, and a revolutionary dynamic difficulty system that provides a custom experience based on your skill level and play style.<br>					<ul class=""bb_ul""><li>Intense Combat: Face off against ruthless enemies, like jetpack soldiers and mutants that evolve as you fight them. Witness enemies that adapt to your actions and truly work as a team, as they cover each other and help fallen comrades to get back on their feet.<br>Outsmart your opponents by using your surroundings to your advantage as you set up traps using lethal elements of the environment. Location-based damage rewards accuracy while melee combat moves enable you to get up-close and personal.<br>					</li><li>Unprecedented Interactivity: Blast your way through highly interactive environments powered by an enhanced version of the Source engine. Characters dynamically react to what you're looking at and the environment. Target and shoot off specific vehicle parts and literally blow cars to pieces. Experience the next level of vehicle combat with a flexible positioning system enabling you to move around the interior with an unprecedented degree of freedom, allowing you to pick the ideal position to attack that enemy position up ahead.<br>					</li><li>Personal Challenge System™: Driven by one of the most elaborate statistics systems ever created, SiN Episodes will constantly adapt to your playing style and offers a challenge that is custom-tailored to your skill level.<br>					</li><li>Episodic Delivery: Buy as little or as much of the game as you want, with each installment offering 3 - 6 hours of action-packed gameplay. But tread lightly, as the choices you make may influence future episodes in unforeseen ways.<br>					</li><li>Source Powered: Utilizing the same engine that powered Half-life® 2, Emergence gives you stunningly gorgeous graphics and intense physics-based gameplay.</li></ul>"
2360,"['Single-player', 'Steam Cloud', 'Family Sharing']",['Action'],"While the Sidhe elf Corvus battled the evil forces of D'Sparil, the remaining Serpent Riders were busy corrupting other dimensions. As a Warrior, Mage, or Cleric, you must defend your realm of Cronos from the second Serpent Rider known as Korax.","Hexen: Beyond Heretic is a fantasy first-person shooter developed by Raven Software and published by id Software in 1995. It is the direct sequel to the first game in the series, Heretic.<h2 class=""bb_tag"">Story </h2><br>While the Sidhe elf Corvus battled the evil forces of D'Sparil, the remaining two Serpent Riders were busy sowing the seeds of destruction in other dimensions. As a Warrior, Mage, or Cleric, you must fight the undead, and brave elemental dungeons and decaying wilderness to defend your realm of Cronos from Korax, the second Serpent Rider.<h2 class=""bb_tag"">Features </h2><br><ul class=""bb_ul""><li> Become one of three heroes: Warrior, Mage, and Cleric. <br></li><li> Wield superhuman powers and lethal weapons. <br></li><li> Fight your way through earthquakes, crumbling bridges, and fog. <br></li><li> Track down powerful artifacts and cast powerful spells. </li></ul>"
2610,"['Single-player', 'Family Sharing']",['Action'],"When life robs Colton White of all that matters, the only thing left he can trust is his GUN. From award-winning developer, Neversoft, and accomplished screenwriter, Randall Jahnson (The Mask of Zorro, The Doors), GUN follows Colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him.","When life robs Colton White of all that matters, the only thing left he can trust is his GUN. From award-winning developer, Neversoft, and accomplished screenwriter, Randall Jahnson (The Mask of Zorro, The Doors), GUN follows Colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him. GUN is a realistic epic action/adventure that lets gamers experience the brutality of the lawless West.<br>					<ul class=""bb_ul""><li>New and savage ways to punish: Stealthily sneak up and attack your enemies, use them as cover, stab and shoot them. Blast away and watch the aftermath, shoot guns out of enemy hands, or destroy with dynamite. <br>					</li><li>Extensive variety of missions and game play: Wage war on horseback, commandeer trains, protect prostitutes, collect bounties, play poker, hunt buffalo, and more. Multiple game play styles include: precision shooting, stealth tactics, and use of explosives. Embark on numerous side missions that allow you to master gun slinging and horse riding. Unlock secret weapons and upgrade your skills and abilities to improve your weapon and equipment performance.<br>					</li><li>Brutal realism: Act as a gunslinger protecting righteousness, or seek retribution as you face corrupt lawmen, warring tribes, cold-blooded outlaws, and ruthless renegades. Encounter legendary gunfighters such as JJ Webb. Employ a multitude of authentic weapons including: Six shooters, shotguns, Gatling guns, flaming arrows, hatchets, dynamite, and more.<br>					</li><li>Expansive interactive world: Play an extensive variety of exciting missions as you journey west across the new frontier. Ride on horseback through the scenic, yet dangerous Western terrain of canyons, mountains, plains, forests, gold mines and towns.</li></ul><br>© 2006 Activision Publishing, Inc.  Activision is a registered trademark and GUN is a trademark of Activision Publishing, Inc.  All rights reserved.  All other trademarks and trade names are the properties of their respective owners."
2850,"['Single-player', 'Steam Cloud', 'Family Sharing']","['Simulation', 'Strategy']",X-Tension is the eagerly awaited expansion pack to X: Beyond the Frontier. The expansion is not limited by a linear plot line but makes use of new ways to expand your empire. You can now take part in missions that are offered to you throughout the game.,"X-Tension is the eagerly awaited expansion pack to X: Beyond the Frontier. The expansion is not limited by a linear plot line but makes use of new ways to expand your empire. You can now take part in missions that are offered to you throughout the game.<br>					<h2 class=""bb_tag"">Features</h2>					<ul class=""bb_ul""><li><strong>More Ships</strong> - You are no longer limited to one ship, but can now buy and pilot all fighters and small transports in the game. As well as capturing new Pirate ships.<br>						 </li><li><strong>Expanded Universe</strong> - The universe has also been expanded with over 40 new sectors to visit, trade and fight inside, allowing you to find new locations to build new stations and trade in new goods.<br>						 </li><li><strong>The Version 2 Update</strong> - The release of the 2.0 upgrade expanded the game even further allowing you to pilot the larger TL class freighter.<br>					</li></ul>Continue your quest to explore the universe, trade in over 90 sectors, with over 50 goods, upgrade your ship with dozens of wares available to you by 5 unique alien races and protect yourself from the hostile Xenon."
3540,"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Casual'],"Join the Peggle Masters on a dreamtime adventure of alter egos and peg-tastic action. Stay up late to aim, shoot and clear orange pegs, and bask in Extreme Fever glory under the silver moon.","The sun has set at the Peggle Institute, but the bouncy delight has just begun! Join the Peggle Masters on a dreamtime adventure of alter egos and peg-tastic action. Stay up late to aim, shoot and clear orange pegs, and bask in Extreme Fever glory under the silver moon. <br><br>Then, put your Peggle skills to the ultimate test in Challenge mode. If you can master all that fevered action, play to your heart's content with Duel mode and Quick Play. Plus, you can stock your Trophy Room and revel in clickable replays for even more rebounding joy!        <br>            <br>					<ul class=""bb_ul""><li>Explore all 60 levels in Adventure mode                    <br>					</li><li>Meet a new Peggle Master and learn a new Magic Power                    <br>					</li><li>Test your skills in 60 challenges                    <br>					</li><li>Unlock Duel mode to compete against friends and the computer                    <br>					</li><li>Celebrate your Peggle prowess with clickable replays and a Trophy Room!                    </li></ul>"
3620,"['Single-player', 'Steam Achievements', 'Stats', 'Family Sharing']","['Action', 'Casual']",An irresistible force has taken our fearless frog to an island where the puzzle-action of Zuma has evolved in amazing ways… but evil spirits and tenacious tiki bosses rule the land! Survive by firing stone spheres to destroy the deadly stream of balls. Conquer over 60 levels!,"An irresistible force has taken our fearless frog to an island where the ribbeting puzzle-action of Zuma has evolved in amazing ways… but evil spirits and tenacious tiki bosses rule the land!  Survive the ire of the island by firing stone spheres to destroy the deadly stream of balls. Conquer over 60 levels by staying sharp and avoiding hidden traps. Slide and hop for smarter shots; hit targets for exotic bonuses; detonate new power-up balls; battle six imposing tiki bosses and guide your agile amphibian to victory in four all new game modes! Will you succumb to the perilous pitfalls, or can you tame the jungle in this PopCap ball-blasting challenge?<br>					<ul class=""bb_ul""><li>Conquer over 60 levels and defeat six mini-game Boss Battles <br>					</li><li>Score explosive power-ups including three new shots<br>					</li><li>Explore new gameplay like lily-pad hopping, slide-aiming, and more<br>					</li><li>Take a shot at 70 all-new Challenges in the Jungle of Mystery, Quiet Village, Lost City and Mosquito Coast. <br>					</li><li>Run the Iron Frog gauntlet — beat 10 levels in a row!<br>					</li><li>Turn up the heat in Heroic Frog mode<br>					</li><li>Enjoy amazing graphics and effects that bring Zuma into the modern world of gaming<br>					</li></ul>"
4720,"['Single-player', 'Family Sharing']",['Action'],What twists the mind of an ordinary human into a serial killer?,"What twists the mind of an ordinary human into a serial killer?<br />
<br />
Assigned to the Serial Crimes Unit, Agent Ethan Thomas must answer this question, and bring the worst of society to justice. His solve rate is the best in the bureau....perhaps too good.<br />
<br />
While investigating the growing list of serial killers, Agent Thomas concludes that something is twisting the bodies and souls of those that society has left behind. The homeless, addicted and deranged are rising from the city’s underbelly and committing mindless acts of violence. Could there be an unseen connection between the increasing brutality of the latest serial killings and the increasing crime rate? This question is pushed to the forefront after Agent Thomas is framed for the murder of two police officers. Now he must solve the murders to stop the killings, and exonerate himself from the crimes of which he is accused.<br />
<br />
As FBI agent Ethan Thomas, you rely on sharp instincts and sophisticated forensic tools to investigate crime scenes, collect evidence, and find clues that will lead you to the killers. With danger lurking in every shadow, you need whatever weapons you can find to stay alive. If you run out of bullets, you’ll have to fight with a fire axe, shovel, pipe, two-by-four, or whatever you can pry from the environment around you. You’ll need to make sure nothing stops you as you try to uncover exactly who...or what is behind the grisly killings plaguing the city."
6120,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie']","Shank is the cult-classic revival of the sidescrolling beat-em-up. Play as Shank in an over-the-top grindhouse game, packed to the rim with enemies, bosses, combos, and more by the award-winning team at Klei Entertainment.","Shank is the cult-classic revival of the sidescrolling beat-em-up. Play as Shank in an over-the-top grindhouse game, packed to the rim with enemies, bosses, combos, and more by the award-winning team at Klei Entertainment. The 2D sidescroller beat-em-up is finally on Steamplay, now with improved controls and tuning updates based on popular feedback! Shank will have you shooting and slashing your way through hordes of enemies in a stylized slaughter fest. Embark on a brutal path of blood soaked revenge as Shank battles his way through the criminal underground in his quest for retribution. Boasting fast-paced bloody action, silky smooth controls and a signature pulpy grindhouse art style, Shank is a must-play for action fans.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li><strong>Violent graphic novel art style:</strong><br><br>Beautiful and fluid graphic novel art and animation styled by veteran director Jeff Agala. <br></li><li><strong>Weapon-based combo system:</strong><br><br>String together endless combos of mayhem and destruction on the fly and pummel your opponents to the ground using an exhaustive arsenal of weapons.<br></li><li><strong>Gorgeous, fully animated story cinematics:</strong><br><br>Watch Shanks brutal story unfold through beautiful fully animated cut scenes.<br></li><li><strong>Brutal Boss Battles:</strong><br><br>Over 8 different massive and unique bloody boss battles.<br></li><li><strong>Two-Player Local Co-Op:</strong><br><br>Murder with a friend. Play in a separate backstory in the two-player co-op mode and face a legion of well-armed enemies in the prequel to the single player experience. </li></ul>"
6300,"['Single-player', 'Family Sharing']","['Adventure', 'RPG']","Dreamfall: The Longest Journey, winner of multiple E3 awards as the best game in its genre, is the continuation of a saga that began in the award-winning The Longest Journey, considered to be one of the finest adventure games ever made.","Dreamfall: The Longest Journey, winner of multiple E3 awards as the best game in its genre, is the continuation of a saga that began in the award-winning The Longest Journey, considered to be one of the finest adventure games ever made. In Dreamfall, players are taken on an epic journey of exploration and adventure as they venture through a thrilling and emotional storyline. Dreamfall features a fully interactive world where beautiful music, stunning graphics, fascinating characters and unparalleled gameplay variety promises to bring the adventure genre into a new era. Prepare for a spiritual, fantastic and powerful gaming experience.<br>					<ul class=""bb_ul""><li><strong>Unparalleled Gameplay Variety</strong> Never before has an adventure game brought this much gameplay variety! Use your brains or your brawn; sneak, fight or talk your way through the many challenges the game offers. Be polite or rude, threaten or sweet talk; in Dreamfall you make the choice, resulting in a game where you never quite know what to expect next.<br>					</li><li><strong>Three Playable Characters</strong> Experience the story from three separate perspectives, and learn how their destinies blend together in an epic finale. Each character has unique abilities and world views, giving you constant gameplay variations.<br>					</li><li><strong>Three Worlds</strong> Dreamfall spans three beautifully realized worlds, multiple chapters and a stunning amount of detailed locations. Travel across a futuristic version of our earth, journey into a magical fantasy realm and unravel the mysteries of the Winter.<br>					</li><li><strong>Unique World Interaction</strong> Bridging the gap between the classic point and click adventure game, where you could click on any given point at the screen, and the action adventure, where you need to move up to an object to interact with it, Dreamfall introduces the brand new focus field feature. In this easy-to-use context-sensitive interface you can scan your entire visible environment as seen by the characters, and use it to get information on far away objects as well as triggering remote gameplay opportunities.<br>					</li><li><strong>Mature &quot;Thriller&quot;-type Storyline</strong> Dreamfall delivers a mature and compelling storyline that mixes the futuristic, fantastic and spiritual with a tale of murder, deceit and a conspiracy threatening our very existence. Bringing the classic adventure game into the world of the modern action game, Dreamfall delivers a rare and special story experience.<br>					</li><li><strong>Stunning Sounds and Soundtrack</strong> Listen to an emotional and epic soundtrack in 7.1 surround. Hear gripping voices as recorded by more than 50 professional actors, and enjoy soundscapes bringing players to the edge of their seats.<br>					</li><li><strong>A game for everyone</strong> 50% of the players of the original The Longest Journey were women. With its cinematic approach, believable characters, mature storyline and easy-to- grasp interface, Dreamfall is a game that any teenager or adult can pick up and enjoy, regardless of their gaming background.</li></ul>"
7200,"['Single-player', 'Multi-player', 'Includes level editor', 'Family Sharing']",['Racing'],TrackMania is the most entertaining car racing game ever. Millions of players play it in single or multiplayer modes. TrackMania United Forever is the ultimate TrackMania edition thanks to the numerous additions and innovations it has to offer.,"TrackMania is the most entertaining car racing game ever. Millions of players play it in single or multiplayer modes. TrackMania United Forever is the ultimate TrackMania edition thanks to the numerous additions and innovations it has to offer. This version brings together all the environments of the series and comes with a huge, enriched single-player campaign including 4 different modes and 420 progressively difficult tracks.<br><br>Drive at mind-blowing speed on today's most spectacular tracks. Soaring jumps, loops, hairpin bends, turbo boosts, track-breakers, rails and ramps...every track delivers a new and intense experience, offering sensational gaming across single and multiplayer modes.<br><br><strong>Features:</strong><br><ul class=""bb_ul""><li>4 single player modes (Race, Platform, Stunt and Puzzle) on 420 spectacular progressively challenging tracks. <br>					</li><li>7 types of vehicles offering different gameplay and driving experiences in 7 TrackMania environments - of which one, Stadium, is compatible with the free game, TrackMania Nations Forever <br>					</li><li>Solo and team based multiplayer modes. Join millions of players online on the TrackMania servers.<br>					</li><li>A spectacular graphics update for the three historic environments (Desert, Snow and Rally.<br>					</li><li>Integrated peer-to-peer sharing system to showcase all of your customizations with your opponents (modified vehicles, avatar...).<br>					</li><li>Earn &quot;Coppers&quot;, the virtual currency of TrackMania players, by winning medals in solo mode or by trading your TrackMania creations with other players (cars, skins, tracks, videos...)<br>					</li><li>Official rankings in solo and multiplayer. In solo play, along with earning medals for great racing, you can participate in official rankings by recording your best times on the game's tracks.<br>					</li><li>Create your own tracks, vehicles and videos with the TrackMania editors, paint shop and movie studio!<br>					</li><li>Continue with all your data from TrackMania Nations Forever, including medals, ladder positions, scores, and friends.</li></ul>"
